/

D D NOMBRE                         NOMBRE                         T CODIGO  DESCRIPCION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L P Laboratorio                    PATOLOGÍA                      P P0039   BIOPSIA: TEJIDOS BLANDOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
L P Laboratorio                    PATOLOGÍA                      P P0021   BIOPSIA:GENITAL FEM ENDOMETRIO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P N0062   CD15 (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
L P Laboratorio                    PATOLOGÍA                      P N0065   CD34 (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
L P Laboratorio                    PATOLOGÍA                      P N0035   CERB2 (HER 2 NEU) (INMUNOHISTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P N0064   CKIT(INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
L P Laboratorio                    PATOLOGÍA                      P N0005   CROMOGRAMINA (INMUNOHISTOQUIMI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P N0006   DESMINA (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
L P Laboratorio                    PATOLOGÍA                      P N0007   EMA (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
L P Laboratorio                    PATOLOGÍA                      P N0008   ENOLOSA (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
L P Laboratorio                    PATOLOGÍA                      P N0056   ESTROGENO (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P N0009   FACTOR VIII INMUNOHISTOQUIMICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P N0066   HERCEPTEST (INMUNOHISTOQUI)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L P Laboratorio                    PATOLOGÍA                      P N0012   HMB-45 (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L P Laboratorio                    PATOLOGÍA                      P N0013   KAPPA (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
L P Laboratorio                    PATOLOGÍA                      P N0020   KI-67 (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
L P Laboratorio                    PATOLOGÍA                      P N0022   L26-CD20 (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
L P Laboratorio                    PATOLOGÍA                      P N0023   LAMBDA (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L P Laboratorio                    PATOLOGÍA                      P N0024   LCA-CD 45 (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P N0041   LISOZIMA (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
L P Laboratorio                    PATOLOGÍA                      P P0040   MATERIAL REVIS LAMINILL Y BLOQ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P N0025   P53 (INMUNOHISTOQUIMICA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
L P Laboratorio                    PATOLOGÍA                      P P0061   PIEZA QUI AMPUTAC O DESARTICUL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P P0062   PIEZA QUI APENDICECTOMIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
L P Laboratorio                    PATOLOGÍA                      P P0063   PIEZA QUI BAZO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P P0064   PIEZA QUI CIR RADIC CA OVARIOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P P0065   PIEZA QUI CISTECTOMIA RADICAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
L P Laboratorio                    PATOLOGÍA                      P P0066   PIEZA QUI COLON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
L P Laboratorio                    PATOLOGÍA                      P P0067   PIEZA QUI CONO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P P0068   PIEZA QUI CUADRANTECTOMIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
L P Laboratorio                    PATOLOGÍA                      P P0069   PIEZA QUI CUERPO CAROTIDEO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
L P Laboratorio                    PATOLOGÍA                      P P0073   PIEZA QUI DISECC RADIC CUELLO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
L P Laboratorio                    PATOLOGÍA                      P P0071   PIEZA QUI DISECCION AXILA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
L P Laboratorio                    PATOLOGÍA                      P P0072   PIEZA QUI DISECCION INGUINAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
L P Laboratorio                    PATOLOGÍA                      P P0074   PIEZA QUI ESOFAGO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
L P Laboratorio                    PATOLOGÍA                      P P0075   PIEZA QUI ESOFAGO + ESTOMAGO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
L P Laboratorio                    PATOLOGÍA                      P P0076   PIEZA QUI ESOFAGOGASTREC RADIC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P P0077   PIEZA QUI ESPECIALES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
L P Laboratorio                    PATOLOGÍA                      P P0078   PIEZA QUI GANGLIOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
L P Laboratorio                    PATOLOGÍA                      P P0079   PIEZA QUI GASTRECTOMIA RADICAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P P0080   PIEZA QUI GLANDULA SUBMAXILAR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
L P Laboratorio                    PATOLOGÍA                      P P0081   PIEZA QUI HIGADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
L P Laboratorio                    PATOLOGÍA                      P P0082   PIEZA QUI HISTERECTOMIA RADICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L P Laboratorio                    PATOLOGÍA                      P P0083   PIEZA QUI INTESTINO DELGADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L P Laboratorio                    PATOLOGÍA                      P P0084   PIEZA QUI INTRAOPERATORIO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
