/

L SE NOMBRE                                                                           SU NOMBRE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
F 62 ANTIBIOTICOS                                                                     02 ANTIMICOTICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
F 62 ANTIBIOTICOS                                                                     03 CEFALOSPORINAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
F 62 ANTIBIOTICOS                                                                     04 CLORANFENICOL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
F 62 ANTIBIOTICOS                                                                     05 MACROLIDOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
F 62 ANTIBIOTICOS                                                                     06 PENICILINAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
F 62 ANTIBIOTICOS                                                                     07 SULFAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
F 62 ANTIBIOTICOS                                                                     08 TIENAMICINAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
F 62 ANTIBIOTICOS                                                                     09 QUINOLONAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
F 62 ANTIBIOTICOS                                                                     10 ANTIVIRALES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
F 62 ANTIBIOTICOS                                                                     11 MONOBACTAMICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
F 62 ANTIBIOTICOS                                                                     12 SULFONAMIDAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
F 62 ANTIBIOTICOS                                                                     13 BETALACTAMICO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
F 62 ANTIBIOTICOS                                                                     14 TUBERCULOSIS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
F 62 ANTIBIOTICOS                                                                     15 ANTIBACTERIANOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
F 64 ANTIPARASITARIOS                                                                 01 AMEBICIDAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
F 66 SISTEMA UROGENITAL                                                               01 ANTIINFLAMATORIOS PROSTATICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
F 66 SISTEMA UROGENITAL                                                               02 DIURETICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
F 66 SISTEMA UROGENITAL                                                               03 ENFERMEDADES PROSTATICAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
F 68 SISTEMA SANGUINEO                                                                01 ANTICOAGULANTES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
F 68 SISTEMA SANGUINEO                                                                02 ANTIHEMORRAGICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
F 68 SISTEMA SANGUINEO                                                                03 FIBRINOLITICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
F 68 SISTEMA SANGUINEO                                                                04 MEDICACION ANTIANEMICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
F 68 SISTEMA SANGUINEO                                                                05 ANTIAGREGANTES PLAQUETARIOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
F 68 SISTEMA SANGUINEO                                                                06 MISCELANEA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
F 68 SISTEMA SANGUINEO                                                                07 ANTAGONISTA DE LA HEPARINA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
F 70 VITAMINAS                                                                        01 VITAMINAS B1,B6,B2.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
F 70 VITAMINAS                                                                        02 VITAMINA C                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
F 70 VITAMINAS                                                                        03 VITAMINA SINTETICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
F 72 ENFERMEDADES NEOPLASICAS                                                         01 AGENTES ALQUILANTES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
F 72 ENFERMEDADES NEOPLASICAS                                                         02 ANTIMETABOLITOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
F 72 ENFERMEDADES NEOPLASICAS                                                         03 ANTIMITOTICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
F 72 ENFERMEDADES NEOPLASICAS                                                         04 ANTIBIOTICOS DE ACC.ONCOLOGICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
F 72 ENFERMEDADES NEOPLASICAS                                                         05 MISCELANEA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
F 72 ENFERMEDADES NEOPLASICAS                                                         06 HORMONAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
F 72 ENFERMEDADES NEOPLASICAS                                                         07 ANTIANDROGENOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
F 72 ENFERMEDADES NEOPLASICAS                                                         08 MONOCLONALES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
F 74 GINECOLOGIA                                                                      01 ANTIINFECCIOSO GINECOLOGICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
F 74 GINECOLOGIA                                                                      02 UTEROTONICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
F 74 GINECOLOGIA                                                                      03 OXITOCICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
F 76 RADIOLOGIA                                                                       01 CONTRASTES RADIOLOGICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
F 76 RADIOLOGIA                                                                       02 MIELOGRAFICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
F 78 PREPARADOS OFTALMICOS                                                            01 COLIRIOS ANTISEPTICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
F 80 EQUILIBRIO HIDROLECTROLITICO                                                     01 SUSTITUTOS DEL PLASMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
F 80 EQUILIBRIO HIDROLECTROLITICO                                                     02 SOLUCIONES ELECTROLITICAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
F 80 EQUILIBRIO HIDROLECTROLITICO                                                     03 SOLUCIONES HIDRATOS DE CARBONO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
